user_id,hotel_id,rate_star
100000000581143,443915159044396,4
100000008600060,1599698676934263,5
100000009684587,117843318367122,5
100000011204996,1421838558069486,5
100000012755459,1571612506414924,5
100000017724690,265312270305501,1
100000019952877,1479410105631173,5
100000021505552,485786431445960,1
100000022785607,386201611531603,5
100000024063754,172095542845814,5
100000026020478,671410232917210,5
100000029911648,237861679739114,4
100000033283940,1017426538344910,5
100000035146893,294365914079840,5
100000036531306,155415196088,1
100000039016699,155415196088,5
100000041761699,155415196088,5
100000044977862,403621223042293,5
100000047238728,1599698676934263,5
100000058854094,1031480000248186,5
100000059375848,159149310881264,5
100000062202920,395874417233821,5
100000062531574,347931698701255,5
100000068882251,255163191262710,5
100000089250116,926555167359486,4
100000095341808,155415196088,2
100000106794677,972516892810156,5
100000109242705,702022549851551,5
100000111249274,172095542845814,5
100000113629869,117843318367122,5
100000113730568,208028559374693,5
100000113872361,485786431445960,3
100000114544894,480461572136306,5
100000121969738,110449969042552,5
100000124489701,261151587357260,5
100000126147709,386201611531603,5
100000127297937,105713669505240,4
100000128435753,1599698676934263,5
100000132415536,153930936150,5
100000137011807,155415196088,5
100000141018167,135324866614935,5
100000144997927,1571612506414924,5
100000146165402,323940062859,5
100000153190571,255163191262710,3
100000154373949,347931698701255,5
100000155665475,117843318367122,5
100000156286617,1571612506414924,5
100000158454359,323940062859,4
100000161385568,172095542845814,5
100000161499311,1599698676934263,5
100000162001802,411066462403202,5
100000174569388,153930936150,5
100000175226243,308846225876171,5
100000180426543,64407053782,5
100000182504697,1417201508570124,5
100000187826779,177852742263101,5
100000187826779,255163191262710,5
100000187826779,485786431445960,5
100000187993566,1236156129733715,5
100000189544534,1408835689351854,3
100000190516772,462266583941871,5
100000196205032,443915159044396,5
100000197113223,1402376883388507,5
100000197681026,244002889050025,4
100000198574483,340415042822036,5
100000200201921,269514643174666,5
100000200441471,159149310881264,5
100000203088727,485786431445960,5
100000203822149,1439591133005014,5
100000205145180,323940062859,5
100000205505459,294365914079840,5
100000205868434,1599698676934263,5
100000210991837,1599698676934263,5
100000213250776,155415196088,5
100000214750957,208028559374693,5
100000215542478,1486141631617711,5
100000217581643,411461885661959,5
100000230375021,132386763492259,4
100000231436157,937116373005616,5
100000237665453,718546104840255,5
100000239691147,153742338002382,5
100000243130691,323940062859,3
100000248211576,395874417233821,5
100000248760305,159149310881264,3
100000254888202,153930936150,5
100000264935665,323940062859,1
100000265988048,1571612506414924,5
100000267437133,153930936150,5
100000267858725,601016283343958,5
100000268489214,480461572136306,5
100000271472093,461300670678750,5
100000272390140,755009684522390,5
100000277496585,467851863409688,5
100000281558580,164636565409,5
100000283786086,715133925244500,5
100000284681187,265312270305501,1
