user_id,hotel_id,rate_star
1062765807,100607916712445,5
100000677735062,1017426538344910,5
100005722772217,1017426538344910,5
100007813424980,1017426538344910,5
523106544,1017426538344910,5
100001437096610,1031480000248186,5
1561450986,1031480000248186,5
100000294952685,105713669505240,5
100000608978968,1070723119658555,5
538764216,1070723119658555,5
578755656,1070723119658555,5
100007006482558,1071725402860921,5
100009800073291,109924292681661,5
100010679560172,109924292681661,5
100011081377101,109924292681661,5
1832080536,109924292681661,5
100000415164509,1110145009064097,5
100010520113794,1110145009064097,5
766612689,1110145009064097,5
100003099900230,116431445169619,5
100006867962379,116431445169619,2
739267393,116431445169619,5
100008026579352,120190574818017,5
1631444781,120190574818017,5
716078744,120190574818017,5
100001107802876,120230848080105,5
100002681974412,120230848080105,5
100002840308149,120230848080105,5
100002739175377,120477108108421,5
736288832,120477108108421,5
100001857387072,1236156129733715,5
1697131720,1236156129733715,5
557617774,1236156129733715,5
100001679222899,129211230546960,5
100003819103686,129211230546960,5
100004216923462,132386763492259,3
1563834703,133247926884581,5
505941841,133247926884581,5
630551646,133247926884581,5
639810168,133247926884581,5
100001639309938,135324866614935,5
100005508647057,1379083872319465,5
100006086533325,138826162963301,5
100005792256866,1402053123339962,5
100000619275066,1402376883388507,5
100004872550096,1402376883388507,5
100008675380412,1402376883388507,5
100001560361967,1417201508570124,5
100002899180696,1417201508570124,5
100003502375964,1417201508570124,5
100006942557915,1417201508570124,5
690926870,1417201508570124,5
591367594,1430101293925015,5
100003113961224,1430179450611070,5
100003292063194,1430179450611070,5
100008254307959,1430179450611070,5
100000127669464,1431622807089649,5
100004962882478,1439591133005014,5
100009476706534,1439591133005014,4
100000560215445,1452357201686673,5
100003212087830,1452357201686673,5
100009533083265,1452357201686673,5
1081358098,1452357201686673,5
100002275160605,1454144494900698,5
100003057961992,1454144494900698,5
100007623942541,1454144494900698,5
100009276810159,1454144494900698,5
100001520953712,1470515046537744,5
583112352,1470515046537744,5
666429486,1470515046537744,5
100002337234336,147611895600078,5
100000581923552,147680342090458,5
100003882317761,147680342090458,5
540173228,147680342090458,5
576026538,147680342090458,5
1838606046,1479410105631173,4
630116608,1479410105631173,5
726584020,1479410105631173,5
100000518751905,1486141631617711,5
100001437538808,1486141631617711,2
1408515775,1486141631617711,5
100000860094064,1495601260767666,5
100001029637350,1495601260767666,5
1554592125,1495601260767666,5
100000010908431,1502218643346817,5
100000232078060,1502218643346817,5
100001755609579,1502218643346817,5
100007513244931,1502218643346817,5
19601536,1502218643346817,5
100002263438520,1513021542254541,3
100006824926557,1513021542254541,5
100000212212224,151462301571537,5
100000603379546,151462301571537,5
100004713308213,151462301571537,5
546053843,151462301571537,5
94700737,151462301571537,5
1239193048,1515742982001621,5
100000736331589,1517887281761033,5
1154311754,1517887281761033,5
100009476706534,1525024751057588,4
596217618,1532170243748316,5
100001352337798,1533464686903010,5
100001756200665,1533464686903010,5
100002914791691,153930936150,5
1033100343,153930936150,5
1240628784,153930936150,5
100000860330279,153977564805074,5
100001526898296,153977564805074,5
100002439536436,153977564805074,5
100002917045373,153977564805074,5
100009476706534,153977564805074,5
651298205,153977564805074,5
100001205217180,155155304551627,5
100003199295099,155415196088,5
100002856319716,1560190850934444,5
100003206022859,1560190850934444,5
100005965240381,1560190850934444,5
100005154245503,1571612506414924,3
509893647,1571612506414924,5
100003264780430,1598432303718857,4
100001300375832,1599698676934263,5
100003830300035,1622139111336873,5
100004016731453,1622139111336873,5
100001672781402,1639889169610412,5
100001883515429,1639889169610412,5
100002152168566,1639889169610412,5
100003083124226,1639889169610412,5
100003709527092,1639889169610412,5
100003853548661,1639889169610412,5
100006286751439,1639889169610412,5
1017365130,1639889169610412,5
100001429386345,1641113002774786,5
100003939663649,1641113002774786,5
100004393201527,1641113002774786,5
100008665564323,1641113002774786,5
100009186759688,1641113002774786,5
1638233638,1641113002774786,5
100001739254331,1650963588453980,5
100008343045728,1663548703877323,5
1404780040,1663548703877323,5
539512920,1663548703877323,5
601350146,1663548703877323,5
680042010,1663548703877323,5
100009499540249,1664960830420791,5
100001020338275,1678659992376911,5
100002882151551,1678659992376911,5
100001699716210,171189606583225,5
100008383596653,171189606583225,4
100003212351540,171567263038699,5
100004116370728,172095542845814,4
100005084743203,172095542845814,4
100005409812876,172095542845814,5
1452594968,172095542845814,5
100010416245641,1754686718089742,5
44408712,1754686718089742,5
762239934,1754686718089742,5
100003664512448,184373381695254,5
100006615882274,184373381695254,5
100007292769161,184373381695254,5
100000855962896,186513324707814,5
664781457,186513324707814,5
745526123,186513324707814,5
1252701075,189209361267196,5
1032720350,207088562690999,5
1603432929,207088562690999,5
100003351404513,207161862741164,5
100003024574478,208028559374693,5
100003207768583,208028559374693,5
1244832423,208028559374693,5
100009439009415,209473922596356,5
100001816599867,210824802405318,5
100002083347837,210824802405318,5
100003328863630,210824802405318,5
100006499892068,210824802405318,5
100006725970901,210824802405318,5
100002526882641,211476462290972,5
100002824013101,211476462290972,5
100007808348810,211476462290972,5
1787628997,211476462290972,5
1799753538,211476462290972,5
100009679456577,211486302212720,5
100006313063213,217691105052968,5
782880797,217691105052968,5
100004640947609,219178058280346,5
100006658475295,219178058280346,4
1004474797,219178058280346,5
715232026,219178058280346,4
100003238988401,233134410079643,4
100009476706534,233134410079643,4
100001498496006,235231583475447,5
100000147078732,237861679739114,5
100000169534412,237861679739114,5
100000296303263,237861679739114,5
100000401709621,237861679739114,5
100003157915511,237861679739114,5
100003298775636,237861679739114,5
100003678532325,237861679739114,5
100003690706100,237861679739114,5
100004008477167,237861679739114,5
100011173952476,237861679739114,5
100004181169588,244002889050025,5
100009705932038,244002889050025,5
1268785332,245770268911414,5
1683055189,255163191262710,5
100003750662431,261151587357260,5
100000027187804,276309149200455,5
1157193548,276309149200455,5
1419954032,276309149200455,5
1567314099,276309149200455,5
100008614185257,286655988047387,4
100009526174821,294365914079840,5
100010154614627,294365914079840,5
1179291588,294365914079840,5
766167532,294365914079840,5
575998459,307887762562072,5
754208874,308846225876171,5
100000128056102,314116302056158,4
100004926489642,314326828711902,1
100002405726545,315714985299528,5
100002619443556,315714985299528,5
100005760134127,315714985299528,4
100009419428645,315714985299528,3
100001494842356,324206391042358,4
1042996018,325201384355552,5
1156176167,325201384355552,5
1409544744,325201384355552,5
712124416,325201384355552,5
718525411,325201384355552,5
100010586162818,331565683601735,5
100002933786596,334600223274360,5
100000886467308,343606679138879,5
100006527317801,343606679138879,5
100007957742195,343606679138879,5
100012630064585,355318834582376,5
1110353399,355318834582376,5
100000299359679,356423114399667,5
100000075215666,359837074208336,5
100000160942905,359837074208336,5
100002374074691,359837074208336,5
100004651116528,359837074208336,5
7955338,359837074208336,5
100008026031233,360146510790751,5
100005701393496,364395350416146,1
100002942553225,365683270164409,5
100007746095187,365683270164409,5
100002420942258,371017579635682,5
100006701588497,371017579635682,5
100003951942879,372832266226334,5
100005903773342,372832266226334,5
100003960305332,387811564616084,4
100003469591889,402297763264823,5
628203186,403621223042293,5
100002097806379,403972803117386,5
100004287191596,405037762927149,5
1003618345,405037762927149,5
100005512906022,409665505900094,4
100009695142888,409665505900094,5
100002350224111,431212090226675,5
100003211739200,437893912931738,5
100004588328634,437893912931738,5
718035415,437893912931738,5
708378935,443915159044396,5
100002441067496,450653978389027,5
1195876490,450653978389027,4
1442553160,450653978389027,5
1569430537,450653978389027,5
100004997820108,451125094971218,5
100003280161028,451875204908266,5
100008686502029,451875204908266,5
100003710755808,462266583941871,5
100005578839578,462266583941871,5
100009864960500,462266583941871,5
100002944530407,463225037170229,5
100002524539706,463578457148999,5
100004332072872,463578457148999,5
100004413814720,465704200150560,4
100002720036994,467851863409688,5
100002940471534,467851863409688,5
100002967866139,467851863409688,5
579988221,468371943245909,5
100000618298605,469965193057993,5
100003780992828,469965193057993,5
100000156029023,482908588388162,5
1004474797,485786431445960,5
