hotel_id,name,address,link
126883330726174,Khách sạn Prince II,"42B Hàng Giấy, Hang Buom ward, Hoàn Kiếm, Hà Nội 70000, Vietnam",https://www.facebook.com/prince2hotel/
129211230546960,Golf Hoian,"187 Lý Thường Kiệt, tp. Hội An, Quảng Nam, Vietnam",https://www.facebook.com/indochinehotelhoian/
129923493826574,Camry,"11 Tố Hữu, Hòa Cường Nam, Hải Châu, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Camry-Hotel/129923493826574
130538853765270,Bao Quang Hotel,"137 Nguyễn Văn Thoại, An Đông Hải, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/Kh%C3%A1ch-S%E1%BA%A1n-B%E1%BA%A3o-Quang-%C4%90%C3%A0-N%E1%BA%B5ng-130538853765270/
130986173710632,Hoai Sang,"B33 Phạm Văn Đồng, An Hải Bắc, Sơn Trà, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Thanh-Hoai-Hotel/130986173710632
131612670518879,Da Nang Villa,"Son Tra - Dien Ngoc Coastal Street, Hoa Hai Ward, Ngu Hanh Son District, Câu Hà, QM, Vietnam",https://www.facebook.com/danaresort/
131762750235333,Golden Key,"82 Quán Sứ, Trần Hưng Đạo, Hoàn Kiếm Trần Hưng Đạo Hoàn Kiếm Hà Nội, Вьетнам, Vietnam",https://web.facebook.com/pages/golden-key-Hotel/131762750235333
132386763492259,Danang Rivershotel_ide,"A 30, Tran Hung Dao Street, Son Tra District, Đà Nẵng, Vietnam",https://www.facebook.com/pages/Danang-Rivershotel_ide-Hotel/132386763492259
133247926884581,Khách sạn Hanoi 3B,99 Ma May Hoan Kiem,https://www.facebook.com/hanoi3bhotel/
133963350115334,Aranya Hotel & Travel,128 Hang Bong,https://www.facebook.com/AranyaHN/
135121083347092,Khách sạn Paradise Boutique,"62 Hàng Bạc, Hoàn Kiếm, Hà Nội, Vietnam",https://www.facebook.com/paradiseboutiquehotel/
135199530219803,Khách sạn Huyền Châu,"28 Yên Phụ, Trúc Bạch, Ba Đình, Hà Nội, Vietnam",https://www.facebook.com/pages/Huyen-Chau-Hotel/135199530219803
135324866614935,Brilliant,"162-164 Bạch Đằng, Hải Châu, Đà Nẵng, Vietnam",https://www.facebook.com/BrilliantHotel/
