id,user_id,hotel_id
1,100000578371323,100397536791106
2,100006241899264,100397536791106
3,1459502017,100397536791106
4,100000235516314,100607916712445
5,100000659781431,100607916712445
6,100001242435377,100607916712445
7,100001381903093,100607916712445
8,100003309140753,100607916712445
9,100003952834962,100607916712445
10,100004222001548,100607916712445
11,100006629220350,100607916712445
12,100008436736527,100607916712445
13,1062765807,100607916712445
14,100000597075136,101722066594591
15,100000860256014,101722066594591
16,100001120171890,101722066594591
17,100007031885346,101722066594591
18,1110744875,101722066594591
19,636816305,101722066594591
20,100000394324105,1017426538344910
21,100000626688897,1017426538344910
22,100000677735062,1017426538344910
23,100003198797886,1017426538344910
24,100003492893170,1017426538344910
25,100004800757500,1017426538344910
26,100005722772217,1017426538344910
27,100006534099054,1017426538344910
28,100007813424980,1017426538344910
29,1548843968,1017426538344910
30,1645594810,1017426538344910
31,1735077173,1017426538344910
32,523106544,1017426538344910
33,533128643,1017426538344910
34,544047245,1017426538344910
35,593580496,1017426538344910
36,807155633,1017426538344910
37,100001216737151,101780179935496
38,100001242435377,101780179935496
39,100003215818296,101780179935496
40,100003528552345,101780179935496
41,100004062829914,101780179935496
42,100005762172838,101780179935496
43,100008083714671,101780179935496
44,100000061796736,102598133184328
45,100002232678524,102598133184328
46,100002725731004,102598133184328
47,100003218603043,102598133184328
48,1692421234,102598133184328
49,100000210991837,1031480000248186
50,100000886877442,1031480000248186
51,100000985640250,1031480000248186
52,100001029637350,1031480000248186
53,100001437096610,1031480000248186
54,100003055999089,1031480000248186
55,100003327033785,1031480000248186
56,100003502375964,1031480000248186
57,100004067325352,1031480000248186
58,100009365907716,1031480000248186
59,1561450986,1031480000248186
60,787258337,1031480000248186
61,100008092560539,104988402951297
62,100000294952685,105713669505240
63,100000455265623,105713669505240
64,100000610473918,105713669505240
65,100001239895193,105713669505240
66,100002703609875,105713669505240
67,100006166922875,105713669505240
68,100006586350663,105713669505240
69,100011236350658,105713669505240
70,100005115451644,106185126212276
71,100000001492967,1070723119658555
72,100000065530823,1070723119658555
73,100000074343625,1070723119658555
74,100000608978968,1070723119658555
75,100003071666556,1070723119658555
76,100003556803905,1070723119658555
77,100003850440442,1070723119658555
78,100004497693640,1070723119658555
79,100011214003135,1070723119658555
80,538764216,1070723119658555
81,578755656,1070723119658555
82,100001229906490,1071725402860921
83,100003236513165,1071725402860921
84,100003652962819,1071725402860921
85,100005084717784,1071725402860921
86,100007006482558,1071725402860921
87,100010595915030,1071725402860921
88,100010865657945,1071725402860921
89,1305444307,1071725402860921
90,100001531192967,107235939358697
91,100002740460458,107235939358697
92,100002906726837,107235939358697
93,100004032027029,107235939358697
94,100004164785557,107235939358697
95,1086484184,107235939358697
96,1503186400,107235939358697
97,100000439601982,107466496045933
98,100002656112882,107466496045933
99,100005333133083,107466496045933
100,100005786701641,107466496045933
101,100007018505569,107466496045933
102,100008112007916,107466496045933
103,100008630375111,107466496045933
104,100009176100669,107466496045933
105,100001371733795,108848622539178
106,100001740518964,108848622539178
107,100001905701787,108848622539178
108,100003076786655,108848622539178
109,100003202186540,108848622539178
110,100003264008694,108848622539178
111,100004126713133,108848622539178
112,100005524664171,108848622539178
113,693033306,108848622539178
114,752990250,108848622539178
115,100000274670282,109924292681661
116,100001562593560,109924292681661
117,100001734506708,109924292681661
118,100002481720014,109924292681661
119,100004001484811,109924292681661
120,100004222873051,109924292681661
121,100005717707855,109924292681661
122,100009476706534,109924292681661
123,100009800073291,109924292681661
124,100010679560172,109924292681661
125,100011081377101,109924292681661
126,100011113771048,109924292681661
127,1187382679,109924292681661
128,1832080536,109924292681661
129,100000488795357,110449969042552
130,100001655902883,110449969042552
131,100002720273083,110449969042552
132,100003547343135,110449969042552
133,100003837857275,110449969042552
134,100004573328572,110449969042552
135,100005379189185,110449969042552
136,100000104815318,1110145009064097
137,100000113872361,1110145009064097
138,100000211877514,1110145009064097
139,100000415164509,1110145009064097
140,100001229906490,1110145009064097
141,100002794687381,1110145009064097
142,100003012707471,1110145009064097
143,100003129836578,1110145009064097
144,100003732322789,1110145009064097
145,100009476706534,1110145009064097
146,100010520113794,1110145009064097
147,100010865657945,1110145009064097
148,1264844111,1110145009064097
149,14101302,1110145009064097
150,1728737778,1110145009064097
151,624454194,1110145009064097
152,647543683,1110145009064097
153,766612689,1110145009064097
154,844152499,1110145009064097
155,863480440,1110145009064097
156,100002935299639,111455759192424
157,100003791426441,111455759192424
158,100006425244648,111455759192424
159,100009623978861,111455759192424
160,699100876,111455759192424
161,100000971012080,1148898871791499
162,100001029637350,1148898871791499
163,100001508032831,1148898871791499
164,100003143914807,1148898871791499
165,100004223441342,1148898871791499
166,100004329782293,1148898871791499
167,100002942755682,115027925337882
168,100003010600004,115027925337882
169,100004063310694,115027925337882
170,100005742132637,115027925337882
171,100007714936500,115027925337882
172,1512996372,115027925337882
173,657806935,115027925337882
174,100000022404746,116431445169619
175,100000218559319,116431445169619
176,100000274670282,116431445169619
177,100000475956468,116431445169619
178,100000743987603,116431445169619
179,100000959494341,116431445169619
180,100001380956617,116431445169619
181,100001441938607,116431445169619
182,100001633300890,116431445169619
183,100001739285978,116431445169619
184,100002162723510,116431445169619
185,100002596304243,116431445169619
186,100003076786655,116431445169619
187,100003099900230,116431445169619
188,100003143914807,116431445169619
189,100003191980170,116431445169619
190,100003314317081,116431445169619
191,100003328863630,116431445169619
192,100003889524603,116431445169619
193,100003952834962,116431445169619
194,100003976721380,116431445169619
195,100004715581282,116431445169619
196,100005212452281,116431445169619
197,100005613764066,116431445169619
198,100006105332648,116431445169619
199,100006304907692,116431445169619
200,100006867962379,116431445169619
201,100007031885346,116431445169619
202,100007151077099,116431445169619
203,100009771768706,116431445169619
204,100010865657945,116431445169619
205,1305444307,116431445169619
206,1817622476,116431445169619
207,610479086,116431445169619
208,657577034,116431445169619
209,739267393,116431445169619
210,892810197,116431445169619
211,100001705079145,117843318367122
212,100003703928072,117843318367122
213,100006480587431,117843318367122
214,100003135598152,120125374732540
215,100003701044742,120125374732540
