id,user_id,hotel_id,comment,status
51,100000144997927,1571612506414924,"Just home from our lovely stay in Casa Sue Turre, beautiful detached villa with big private pool. Lovely large patio area, had many evenings sitting by pool with its lights on at midnight sipping wine, beautiful, Would thoroughly recommend this villa, felt like home. Lynda and Wendy were the most helpful ladies we have met, nothing to much trouble and of course a  thank you to John. We will most certainly be returning in September to hopefully arrange our long awaited long term let with them. Thanks again for our perfect holiday.",1
52,100000146165402,323940062859,WAS VERY NICE NJOYED MYSELF.,1
53,100000147078732,237861679739114,very beautiful,1
54,100000153190571,255163191262710,Mạng wifi quá kém. Chỉ có 50 người ở Văn miếu mà wifi đã quá tải,0
55,100000154373949,347931698701255,Chỉ ở khách sạn chỉ  được 2 hôm nhưng thấy ở đây rất là ok gần hồ gươm và nằm ngay trong phố cổ .phòng đẹp và sạch sẽ rất tiện để đi lại tham quan .phục vụ lại chu đáo tận tình !,1
56,100000155665475,117843318367122,K có k gian nào tuyệt với hơn!,1
57,100000156029023,482908588388162,Moi thu that hoan hao trong mat toi.!. I love Hoi An Riverside Resort.. C'est la Vie ,1
58,100000156286617,1571612506414924,"Amazing service, can highly recommend Blue Sea Villas.",1
59,100000158454359,323940062859,Love it!!,1
60,100000160942905,359837074208336,Low Price . Lovely poeple !,1
61,100000161385568,172095542845814,"I love the swimming pool, looking right to a Tran Thi Ly bridge, it has the sense of relaxing yet still very exciting.",1
62,100000161499311,1599698676934263,Had a great time at Jolie's guesthouse. Tiny really looked after us and we weren't the easiest of guests. We ended up going out 3 out of our four nights and ended up home well in to the early hours each morning. They still smiled it and were really friendly. Also it's a real nice family run place with two lively children there who were fun. Recommend to anyone whether families or backpackers. Great place!!,1
63,100000162001802,411066462403202,"khách sạn phục vụ chu đáo, chất lượng đạt tiêu chuẩn quốc tế 3 sao",1
64,100000169534412,237861679739114,Like mạnh luôn! Vì đẹp quá!!!,1
65,100000174569388,153930936150,Allthings are very good.. Ngon qua.  Nur der Regen ☔ only the Rain today,1
66,100000175226243,308846225876171,Đẹp từ cái tên. (Y);,1
67,100000180426543,64407053782,"Mình rất hài lòng về chất lượng của Emeraude. Nội thất trên tàu đẹp, cổ điển, sang trọng. Các bạn nhân viên rất thân thiện. Ấn tượng nhất khi được câu mực và thưởng thức mực tươi ngay trên tàu. Sẽ tiếp tục chọn Emeraude khi quay lại Hạ Long",1
68,100000182504697,1417201508570124,"Nice place to stay , clean dorm , good music .the staff is so helpful specially Ha ha . Love this place ,definitely want to come back !!!",1
69,100000187826779,177852742263101,Excellent And Love The Services Of The Hotel Staffs Giving A Good Image To This Hotel. Very Good Is My Comment.,1
70,100000187826779,255163191262710,Helpful And Good Services Of Hotel Customer Services And Good Beautiful Hotel. Very Good Is My Comments &amp; Review.,1
71,100000187826779,485786431445960,Loved Everything About This Hotel Where I Find The Staffs Is Good Manners And Love Thier Services To Maintain A Good Name Of JW Marriott Hotel. Thumbs Up.,1
72,100000187993566,1236156129733715,"Khách sạn mới, cách bãi biển 25k tiền taxi . Bạn có thể mượn xe đạp của ks đap xe tới bãi biển khoảng 10p cũng khá thú vị ^^ . Phòng đẹp , sạch sẽ . nhân viên ks vui vẻ nhiệt tình",1
73,100000189544534,1408835689351854,Một sự lựa chọn hoàn hảo cho quý khách khi đi nghỉ dưỡng hoặc công tác tại Đà Nẵng.,1
74,100000190516772,462266583941871,Dịch vụ cữ tốt,1
75,100000196205032,443915159044396,Good services . Kind staffs ❤. Delicious buffet with various food,1
76,100000197113223,1402376883388507,"Good hotel with friendly staffs, nice view, delicous breakfast, two stars Hotel but five stars hierarchy :);",1
77,100000197681026,244002889050025,"Buffet ngon, cảnh dẹp",1
78,100000198574483,340415042822036,"Sự nhiệt tình, thân thiện cùng với tinh thần hiếu khách của các bạn thực sự đã giúp cho kỳ nghỉ của gia đình mình trở nên rất ý nghĩa. Cảm ơn các bạn!",1
79,100000200201921,269514643174666,Beautiful hotel and very nice staff. Everything is clean and the hotel is well situated to see the sights.,1
80,100000200441471,159149310881264,"Because of you, make my trip so wonderful and I love you not just because your changes, but you is you on that high level, on that top where my love begin!",1
81,100000202386854,579557175450439,The best hotel ever :);.......................................................................................................................................................,1
82,100000203088727,485786431445960,"Đẹp, sang trọng và hiện đại",1
83,100000203716905,936624199834683,"We like it here so much. The room is simply beautiful - tastefully decorated, spacious and very clean. Especial the host is so charming. Thanks Miss Nhi and her mother a lot. We will definitely come back. Highly recommended!",1
84,100000203822149,1439591133005014,Mọi thứ đều tuyệt vời,1
85,100000205145180,323940062859,When walk into the room it's like you in a different world very nice a peace of mind I really really like the swing yes yes,1
86,100000205505459,294365914079840,"Perfektes Hotel, hier stimmt einfach alles ....",1
87,100000205868434,1599698676934263,Good homestay as the first time in my life of traveling. Only 2$ for breakfast . Great location,1
88,100000210991837,1599698676934263,Nice place with beautiful hearts where we are like a family :);,1
89,100000212212224,151462301571537,"I'm very happy can live Hanoi Elegance Hotel. They're very kindly and warm, it's the best I had ever live hotel.",1
90,100000213250776,155415196088,Wonderful service,1
91,100000214750957,208028559374693,Love it!! Specially the pool on there roof top. With an awesome views...,1
92,100000215542478,1486141631617711,:D,1
93,100000217581643,411461885661959,"Very nice place, friendly &amp; helpful staff! :); Delicious breakfast!",1
94,100000218218086,595185820539511,it's great location. it's coming soon in Noverber.,1
95,100000230375021,132386763492259,Đẹp lich sự thoang mat. Tôi sẽ quay lại,1
96,100000231436157,937116373005616,Tuyệt vời,1
97,100000232078060,1502218643346817,Great hotel!!!,1
98,100000237665453,718546104840255,Villa rất đẹp,1
99,100000239691147,153742338002382,"I had a great stay there. One of the best hotel, friendly and accomodating staff :);",1
100,100000243130691,323940062859,Need some updates.. Nice jacuzzi but need better TV . The bed with the hard carpet frame needs to go. Compared to the Aura need some updates,0
101,100000248211576,395874417233821,good,1
102,100000248760305,159149310881264,"Một ngày k may mắn. Sáng lên Bà Nà trời mưa, về sương mù giăng lối trắng xóa k thấy gì hết hixhix",1
103,100000254888202,153930936150,furama staff on both amazing! everything here ... perfect!,1
104,100000264935665,323940062859,this super suite was horrible it reminds you of a rinky dink motel with just a few luxuries being the huge whirlpool fireplace and steam room they remove the swings from the room and if the tealight caandle holder were clean with option to buy the tealight candles probably would have set a better move butt they new serios rennovation done and it could br worth the mpney you pay to stay her the cabinets the curtains that olf ass sofa that ugly ass painting the damn stand entertainment stand next to the bed is tacky just corny if it was 150 less i would say if worth it but for 290 definitely wasnt,0
105,100000265988048,1571612506414924,"I moved here 4 years ago to set up a business and having met many letting agents while searching for a home and business premises, Wendy was the first person who actually helped me. She not only found me a lovely house but took an great deal of time to help me with other questions and gave me lots of advise. Anyone who deals with her shall be in good hands. I wish Wendy and the team the best of luck in their new venture.",1
106,100000267437133,153930936150,"Phong cảnh chữ tình tuyệt đẹp ở mọi góc độ.Phục vụ chu đáo,nhiệt tình.Địa điểm tuyệt vời cho kỳ nghỉ hè siêu oi bức.",1
107,100000267858725,601016283343958,Gan nha mềh..khj nào faj về nghỉ vài đêm để trải nghiệm cái coi..!,1
108,100000268489214,480461572136306,Nice hotel with very friendly staff.. Will stay here if I have chance to visit Ha Noi.,1
109,100000271472093,461300670678750,"Với nội thất hiện đại, nằm trong khu vực trung tâm thành phố. Eternity Hotel sẽ là ngôi nhà thứ  2 của quý khách trong những chuyến công tác xa nhà. Eternity Hotel với đội ngũ nhân viên nhiệt tình sẽ tạo cho quý khách cảm giác như được ở chính ngôi nhà của mình.",1
110,100000272390140,755009684522390,"Great and reliable service, would recomend to anyone! First class service!!!!!",1
111,100000277496585,467851863409688,"Phòng sạch sẽ, buffe ngon, nhân viên nhiệt tình, great hotel",1
112,100000281558580,164636565409,Love shh,1
113,100000283786086,715133925244500,5 sao xiệttttt đó. K tin tới ở bít liền :D,1
114,100000284681187,265312270305501,the fucking old person is not polite! Stay away the hotel as far asw possible!,0
115,100000294952685,105713669505240,Thank you for the comfort and good services Aloha... It was really a wonderful stay..,1
116,100000295889042,321382084661497,It's very good hotel in Hanoi .. Best hospitality.,1
117,100000296303263,237861679739114,good resort !!,1
118,100000296324115,1571612506414924,"Wendy, Linda and their fantastic team make your stay most enjoyable, nothing is ever to much trouble. So very professional in all ways before, during &amp; after your stay.. Would never use any other company in the area. If ever there is a problem they do their utmost to resolve it immediately. . Many thanks to Blue Sea Villas . Geraldine &amp; Alan",1
119,100000298189952,323940062859,The perfect getaway. I had an awesome time for my birthday and we plan to go back soon!,1
120,100000299227050,629237600450474,"Giá cả hợp lý, phòng khá ổn",1
121,100000299359679,125187904254346,"Resort dep va co ho boi rong thenh thang, nhan vien de thuong. Bai bien hoi xa",1
122,100000299359679,356423114399667,Phòng 4 giường đơn siêu sạch và dễ thương lắm. Có xe đạp free nữa. Sẽ ghé lại vào những dịp khác khi đến Hội An,1
123,100000299359679,386201611531603,"Thích nhân viên khách sạn này, dễ thương và thân thiện lắm. Phòng và nhà vệ sinh sạch sẽ lắm. GĐ mình ở 2 phòng tiêu chuẩn, nhưng lại được nâng cấp miễn phí 1 phòng suite. Gần ks có nhiều quán ăn ngon và rẻ. Góp ý xíu là Ăn sáng gọi món quá ít món và ko ngon. Phòng tiêu chuẩn mình ở thì máy lạnh cũ và kêu ghê quá.",1
124,100000301298217,323940062859,I spent my one year anniversary there and it was to die for.  Not to expensive and easy to get there.  Thank you ESSENCE SUITES. .,1
125,100000302823419,308846225876171,"Mình đi 1 số tàu ở Hạ Long khá xịn, nhưng thấy yêu Pelican Halong nhất và muốn quay lại nhiều! Ấn tượng ko thể quên là nhân viên và quản lý ở đây: chuyên nghiệp, thân thiện và để ý quan tâm từng chút đến mọi đối tượng khách hàng, đặc biệt là gia đình có con nhỏ như mình! Mình thấy các bạn tây, việt cũng như mình đều có chung cảm nhận khi trải nghiệm dịch vụ tại đây!",1
126,100000308786229,117843318367122,Almost nice!,1
127,100000309786797,159149310881264,"Hãy đến và cảm nhận vẻ đẹp trong lành, lãng mạng và ấm áp với những công trình độc đáo tại chốn Bồng lai tiên cảnh.. Bạn chỉ có thể đến và tận hưởng mới cảm nhận hết vẻ đẹp nơi đây.",1
128,100000316874700,929778327061583,"Great location - right in the heart of Hanoi. And ultimately the hostel owners are nice and have a story to tell how they ended up with this great hostel.  Have a chat with the hostel owners, they will guide you all through your journeys in Vietnam.",1
129,100000316916112,954910091191058,"Mình vừa mới nhận phòng xong. Siêu thích í. Tính ở một đêm thôi rồi qua nhà bạn, nhưng giờ chắc ở lại đây tiếp quá :););. . Hì hì.",1
130,100000320225531,631187810227407,The best resort for traveller!!!,1
131,100000320688523,1532170243748316,Exceptionally helpful staff who can't do enough to help you. Great location and beautifully kept.,1
132,100000323460991,155415196088,"Khách sạn này tuyệt nhất Hà Nội, từ cảnh quan cho tới dịch vụ. Kết nhất màn câu cá ngoài hành lang và cách bài trí tiệc.",1
133,100000332084988,237861679739114,Tuyet,1
134,100000333363110,151462301571537,Fantastic hotel with really friendly and helpful staff. Scrambled egg breakfast was light and fluffy. Great place and price in the old quarter,1
135,100000338833073,1479410105631173,It's good place for living in Hanoi.. Staff is good in service.,1
136,100000339609320,373884852802926,Lovely family! Lovely place! Absolutly worth it! Price value ratio : incredible! Come and see!. Thank u very much! It was a pleasure for us!,1
137,100000342243062,323940062859,Love it... will return..,1
138,100000344841057,189209361267196,"Excellent.... nice and clean room... breakfast is good... nice, friendly and accomodating staff. Hope to see you again!",1
139,100000352367916,323940062859,In need of updates,0
140,100000353634460,343606679138879,Great place to stay in Ha Noi! I had such a good time there thanks to you lovely people!! Can highly recommend it!,1
141,100000357222380,463578457148999,"Da nghi o day 1 dem, ks tot nhung vi tri o hem buon wa.",1
142,100000357441871,620354171357517,Very nice:);,1
143,100000361353321,125187904254346,Một nơi tuyệt vời để nghĩ ngơi và thư giãn.,1
144,100000372349809,485786431445960,Absolutely beautiful !,1
145,100000372409278,417346401631445,"Best Service, Best room - best hotel where I stayed in Vietnam. Now I know hotels and guest hostels in Sai Gon, Ha Noi and Nha Trang but Dai Long Hotel was the finest one. I'll come back ",1
146,100000373268092,273791662667573,Hỏi mãi về phòng ks và giá phòng có đc ai trả lời đâu..dịch vụ ko tốt chắc ks hết ng.!!,0
147,100000376149288,244002889050025,Good,1
148,100000376485295,1641867359375840,"If you don't yet have a destiny for your next hollydays......do'nt hesitate . book a trip with tis experienced  yachtsman....it will be an unforgettable experience. We did this last year, my kids are still talking about it!!!!!",1
149,100000376931511,159149310881264,Thật tuyệt vời!,1
