user_id,hotel_id,is_like,is_comment,is_post,rate_star
100011214003135,1070723119658555,1,1,1,5
100011214003135,116431445169619,1,1,1,5
100011214003135,718546104840255,1,1,1,5
100011214003135,186513324707814,1,1,1,5
100011214003135,525045287564418,1,1,1,5
100011214003135,211476462290972,1,1,1,5
100011214003135,359010427525572,1,1,1,5
100011214003135,613106885433101,1,1,1,5
100011214003135,465704200150560,1,1,1,5
100011214003135,147680342090458,1,1,1,5
100011214003135,171189606583225,1,1,1,5
100011214003135,512530622166649,1,1,1,5
100011214003135,1470515046537744,1,1,1,5
657577034,116431445169619,1,1,1,5
657577034,1070723119658555,1,1,1,5
657577034,359010427525572,1,1,1,5
657577034,1470515046537744,1,1,1,5
657577034,512530622166649,1,1,1,5
657577034,171189606583225,1,1,1,5
657577034,718546104840255,1,1,1,5
657577034,186513324707814,1,1,1,5
657577034,372832266226334,1,1,1,5
657577034,525045287564418,1,1,1,5
657577034,465704200150560,1,1,1,5
657577034,147680342090458,1,1,1,5
657577034,1663548703877323,1,1,1,5
100006832633596,465704200150560,1,1,1,5
100006832633596,718546104840255,1,1,1,5
100006832633596,359010427525572,1,1,1,5
100006832633596,613106885433101,1,1,1,5
100006832633596,512530622166649,1,1,1,5
100006832633596,1470515046537744,1,1,1,5
100006832633596,1070723119658555,1,1,1,5
100006832633596,116431445169619,1,1,1,5
100006832633596,186513324707814,1,1,1,5
100006832633596,525045287564418,1,1,1,5
100006832633596,372832266226334,1,1,1,5
100006832633596,147680342090458,1,1,1,5
100001906529239,372832266226334,1,1,1,5
100001906529239,465704200150560,1,1,1,5
100001906529239,211476462290972,1,1,1,5
100001906529239,359010427525572,1,1,1,5
100001906529239,186513324707814,1,1,1,5
100001906529239,1070723119658555,1,1,1,5
100001906529239,613106885433101,1,1,1,5
100001906529239,718546104840255,1,1,1,5
100001906529239,512530622166649,1,1,1,5
100001906529239,525045287564418,1,1,1,5
100003042619867,1470515046537744,1,1,1,5
100003042619867,147680342090458,1,1,1,5
100003042619867,171189606583225,1,1,1,5
100003042619867,372832266226334,1,1,1,5
100003042619867,718546104840255,1,1,1,5
100003042619867,359010427525572,1,1,1,5
100003042619867,613106885433101,1,1,1,5
100003042619867,512530622166649,1,1,1,5
100003042619867,1663548703877323,1,1,1,5
100003042619867,1070723119658555,1,1,1,5
100003042619867,116431445169619,1,1,1,5
1657350158,1470515046537744,1,1,1,5
1657350158,1070723119658555,1,1,1,5
1657350158,465704200150560,1,1,1,5
1657350158,512530622166649,1,1,1,5
1657350158,171189606583225,1,1,1,5
1657350158,1663548703877323,1,1,1,5
1657350158,372832266226334,1,1,1,5
1657350158,147680342090458,1,1,1,5
1657350158,116431445169619,1,1,1,5
1657350158,359010427525572,1,1,1,5
1657350158,186513324707814,1,1,1,5
1657350158,613106885433101,1,1,1,5
530458802,1470515046537744,1,1,1,5
530458802,372832266226334,1,1,1,5
530458802,359010427525572,1,1,1,5
530458802,718546104840255,1,1,1,5
530458802,116431445169619,1,1,1,5
530458802,1663548703877323,1,1,1,5
530458802,211476462290972,1,1,1,5
530458802,1070723119658555,1,1,1,5
530458802,147680342090458,1,1,1,5
530458802,525045287564418,1,1,1,5
530458802,613106885433101,1,1,1,5
530458802,171189606583225,1,1,1,5
530458802,465704200150560,1,1,1,5
1753550570,147680342090458,1,1,1,5
1753550570,1070723119658555,1,1,1,5
1753550570,211476462290972,1,1,1,5
1753550570,116431445169619,1,1,1,5
1753550570,372832266226334,1,1,1,5
1753550570,525045287564418,1,1,1,5
1753550570,1470515046537744,1,1,1,5
1753550570,1663548703877323,1,1,1,5
1753550570,718546104840255,1,1,1,5
1753550570,465704200150560,1,1,1,5
100005592492420,1663548703877323,1,1,1,5
100005592492420,1470515046537744,1,1,1,5
100005592492420,116431445169619,1,1,1,5
100005592492420,171189606583225,1,1,1,5
100005592492420,525045287564418,1,1,1,5
100005592492420,1070723119658555,1,1,1,5
100005592492420,613106885433101,1,1,1,5
100005592492420,718546104840255,1,1,1,5
100005592492420,147680342090458,1,1,1,5
100005592492420,211476462290972,1,1,1,5
100005592492420,512530622166649,1,1,1,5
100005592492420,465704200150560,1,1,1,5
100005592492420,359010427525572,1,1,1,5
100005826102336,171189606583225,1,1,1,5
100005826102336,186513324707814,1,1,1,5
100005826102336,1663548703877323,1,1,1,5
100005826102336,211476462290972,1,1,1,5
100005826102336,372832266226334,1,1,1,5
100005826102336,359010427525572,1,1,1,5
100005826102336,116431445169619,1,1,1,5
100005826102336,512530622166649,1,1,1,5
100005826102336,718546104840255,1,1,1,5
100005826102336,613106885433101,1,1,1,5
100005826102336,147680342090458,1,1,1,5
100005826102336,1070723119658555,1,1,1,5
100005826102336,465704200150560,1,1,1,5
789894738,186513324707814,1,1,1,5
789894738,147680342090458,1,1,1,5
789894738,1470515046537744,1,1,1,5
789894738,372832266226334,1,1,1,5
789894738,512530622166649,1,1,1,5
789894738,718546104840255,1,1,1,5
789894738,1070723119658555,1,1,1,5
789894738,211476462290972,1,1,1,5
789894738,613106885433101,1,1,1,5
789894738,171189606583225,1,1,1,5
789894738,359010427525572,1,1,1,5
789894738,525045287564418,1,1,1,5
1537359166,211476462290972,1,1,1,5
1537359166,718546104840255,1,1,1,5
1537359166,147680342090458,1,1,1,5
1537359166,359010427525572,1,1,1,5
1537359166,171189606583225,1,1,1,5
