,0,1,2,3,4,5,6,7,8,9
1548843968,1560190850934444,525045287564418,1408835689351854,981632381887437,950863758336907,148592598530893,1423916441214189,359837074208336,451875204908266,1488754444722971
100000211877514,1560190850934444,1562513834011933,1479410105631173,1423916441214189,255163191262710,120190574818017,313922805328424,1408835689351854,221652474655457,981632381887437
1310987646,1560190850934444,164636565409,503706833117673,313922805328424,981632381887437,950863758336907,850047381738094,262929017175213,255163191262710,1562513834011933
100001699716210,164636565409,1562513834011933,189209361267196,1571612506414924,313922805328424,1479410105631173,1408835689351854,981632381887437,1417201508570124,485786431445960
100001906529239,164636565409,981632381887437,485786431445960,451875204908266,664463123648005,189209361267196,120190574818017,1017426538344910,1562513834011933,261151587357260
100003839334064,164636565409,255163191262710,1479410105631173,189209361267196,850047381738094,1417201508570124,1408835689351854,1571612506414924,676182542434442,370071059683160
1342667322,120190574818017,502860436485487,207161862741164,1408835689351854,1479410105631173,950863758336907,189209361267196,929778327061583,611779132166924,525045287564418
613149597,164636565409,1560190850934444,950863758336907,503706833117673,664463123648005,1417201508570124,1571612506414924,189209361267196,485786431445960,405037762927149
796459721,189209361267196,1479410105631173,611779132166924,850047381738094,503706833117673,269514643174666,1423916441214189,403972803117386,664463123648005,1571612506414924
100005832013838,164636565409,664463123648005,1479410105631173,308822925903893,1562513834011933,929778327061583,1423916441214189,950863758336907,313922805328424,848148918612043
100000671155244,950863758336907,1408835689351854,1562513834011933,189209361267196,1417201508570124,502860436485487,1479410105631173,120190574818017,981632381887437,1571612506414924
100000144584232,255163191262710,1417201508570124,1408835689351854,1571612506414924,189209361267196,120190574818017,929778327061583,664463123648005,1479410105631173,1423916441214189
100000154961148,164636565409,1560190850934444,1571612506414924,617228808414142,313922805328424,197455960317138,611779132166924,1417201508570124,237547776333590,373884852802926
100000366729283,1560190850934444,1479410105631173,981632381887437,950863758336907,135324866614935,255163191262710,1571612506414924,929778327061583,664463123648005,611779132166924
100002219920737,164636565409,1560190850934444,120190574818017,1408835689351854,664463123648005,255163191262710,1423916441214189,135324866614935,950863758336907,313922805328424
100002637399920,164636565409,100397536791106,950863758336907,365683270164409,120190574818017,848148918612043,1571612506414924,1408835689351854,503706833117673,525045287564418
100003133541120,164636565409,1560190850934444,120190574818017,1408835689351854,1479410105631173,135324866614935,1423916441214189,269514643174666,1571612506414924,207161862741164
100003614174464,164636565409,1571612506414924,981632381887437,120190574818017,1479410105631173,1423916441214189,100397536791106,313922805328424,262929017175213,135324866614935
100009105870437,164636565409,1560190850934444,189209361267196,120190574818017,261151587357260,269514643174666,850047381738094,1408835689351854,1423916441214189,437240659655065
1603131717,1560190850934444,1417201508570124,313922805328424,850047381738094,189209361267196,981632381887437,255163191262710,315714985299528,929778327061583,207161862741164
504374058,164636565409,950863758336907,1571612506414924,1488754444722971,981632381887437,1479410105631173,1408835689351854,255163191262710,929778327061583,120190574818017
100003036376202,164636565409,313922805328424,950863758336907,255163191262710,1479410105631173,929778327061583,1408835689351854,207161862741164,1571612506414924,189209361267196
100002732554022,164636565409,1560190850934444,120190574818017,269514643174666,929778327061583,135324866614935,981632381887437,950863758336907,1571612506414924,373884852802926
100010769168424,1560190850934444,255163191262710,929778327061583,120190574818017,1571612506414924,262929017175213,1423916441214189,981632381887437,370071059683160,116431445169619
100001065367637,1560190850934444,120190574818017,1562513834011933,313922805328424,929778327061583,189209361267196,255163191262710,676182542434442,207161862741164,1423916441214189
100002681901714,164636565409,1560190850934444,120190574818017,148592598530893,189209361267196,850047381738094,317492115048091,279804702037808,950863758336907,503706833117673
100001245838240,164636565409,120190574818017,981632381887437,1488754444722971,370071059683160,1562513834011933,503706833117673,365683270164409,507883129272451,135324866614935
643465696,929778327061583,1417201508570124,503706833117673,371017579635682,189209361267196,1562513834011933,313922805328424,669030779834233,525045287564418,502860436485487
100000043035107,164636565409,1560190850934444,120190574818017,313922805328424,664463123648005,848148918612043,1408835689351854,950863758336907,207161862741164,1423916441214189
1059107880,1560190850934444,120190574818017,1479410105631173,981632381887437,189209361267196,269514643174666,1562513834011933,207161862741164,485786431445960,255163191262710
100001026467758,1560190850934444,1571612506414924,164636565409,1408835689351854,929778327061583,950863758336907,664463123648005,676182542434442,611779132166924,255163191262710
