,0,1,2,3,4,5,6,7,8,9
100000626688897,180030915345034,293947680762224,1650963588453980,972516892810156,214050905441687,569288556451206,579557175450439,462266583941871,145402922137228,956082517750796
100000743987603,950863758336907,334600223274360,1650963588453980,293947680762224,1470515046537744,743552322390935,972516892810156,1502218643346817,563917740343279,956082517750796
100001739285978,1560190850934444,116431445169619,211476462290972,808997689166234,255163191262710,640106616045345,145402922137228,485786431445960,325201384355552,850047381738094
100003314317081,180030915345034,151462301571537,1470515046537744,1650963588453980,293947680762224,640106616045345,1417201508570124,1379083872319465,850047381738094,563917740343279
100005613764066,343606679138879,451875204908266,1417201508570124,1678659992376911,1470426779871002,579557175450439,325201384355552,718546104840255,1379083872319465,469965193057993
892810197,276309149200455,151462301571537,743552322390935,579557175450439,153977564805074,1678659992376911,462266583941871,850047381738094,469965193057993,1502218643346817
626230593,1560190850934444,359837074208336,343606679138879,1650963588453980,718546104840255,972516892810156,451875204908266,1417201508570124,255163191262710,579557175450439
697246515,1560190850934444,766069070177769,1650963588453980,1417201508570124,1017426538344910,1502218643346817,436613806496861,209473922596356,956082517750796,709787162441701
702914274,1560190850934444,151462301571537,343606679138879,359837074208336,116431445169619,972516892810156,1417201508570124,1470426779871002,850047381738094,569288556451206
1109090408,276309149200455,334600223274360,1650963588453980,513785732037204,579557175450439,325201384355552,1017426538344910,133247926884581,569288556451206,1502218643346817
1285251867,276309149200455,1452357201686673,334600223274360,359837074208336,1417201508570124,808997689166234,214050905441687,1470426779871002,436613806496861,485786431445960
100003992164770,743552322390935,513785732037204,214050905441687,1678659992376911,209473922596356,436613806496861,462266583941871,372832266226334,563917740343279,664463123648005
100001041580469,1452357201686673,151462301571537,116431445169619,766069070177769,1470515046537744,153977564805074,1678659992376911,214050905441687,1379083872319465,325201384355552
100000469251022,180030915345034,972516892810156,116431445169619,153977564805074,1417201508570124,956082517750796,1470426779871002,436613806496861,347931698701255,186513324707814
100000566533107,1560190850934444,718546104840255,563917740343279,1379083872319465,347931698701255,485786431445960,469965193057993,189209361267196,1502218643346817,503706833117673
555897880,950863758336907,743552322390935,343606679138879,972516892810156,359837074208336,850047381738094,469965193057993,1470426779871002,569288556451206,331565683601735
816322845,293947680762224,513785732037204,214050905441687,153977564805074,255163191262710,325201384355552,1470426779871002,563917740343279,956082517750796,709787162441701
572681818,334600223274360,359837074208336,211476462290972,579557175450439,850047381738094,485786431445960,133247926884581,1502218643346817,664463123648005,347931698701255
100000943136102,1560190850934444,343606679138879,293947680762224,808997689166234,1417201508570124,718546104840255,325201384355552,1379083872319465,145402922137228,209473922596356
594046532,293947680762224,214050905441687,451875204908266,579557175450439,569288556451206,1470426779871002,485786431445960,956082517750796,331565683601735,1479410105631173
100006257132727,276309149200455,1560190850934444,343606679138879,743552322390935,766069070177769,513785732037204,325201384355552,209473922596356,133247926884581,347931698701255
729517485,180030915345034,151462301571537,334600223274360,214050905441687,808997689166234,211476462290972,485786431445960,325201384355552,563917740343279,850047381738094
100000631455415,276309149200455,359837074208336,116431445169619,451875204908266,718546104840255,640106616045345,1379083872319465,1502218643346817,372832266226334,850047381738094
100001542041939,180030915345034,343606679138879,513785732037204,153977564805074,1470515046537744,1379083872319465,640106616045345,485786431445960,145402922137228,563917740343279
100002000956215,1452357201686673,276309149200455,359837074208336,116431445169619,972516892810156,255163191262710,451875204908266,153977564805074,462266583941871,485786431445960
100003352684879,950863758336907,1452357201686673,151462301571537,116431445169619,214050905441687,1017426538344910,718546104840255,1379083872319465,709787162441701,372832266226334
100001648658272,1452357201686673,343606679138879,293947680762224,972516892810156,147680342090458,1470515046537744,325201384355552,640106616045345,563917740343279,709787162441701
100007733917436,743552322390935,1678659992376911,255163191262710,850047381738094,469965193057993,569288556451206,186513324707814,1479410105631173,355318834582376,315714985299528
100000124546891,1452357201686673,743552322390935,343606679138879,579557175450439,325201384355552,569288556451206,1379083872319465,186513324707814,503706833117673,525045287564418
100004171657324,214050905441687,1417201508570124,718546104840255,640106616045345,563917740343279,1379083872319465,469965193057993,569288556451206,347931698701255,503706833117673
1244400568,1452357201686673,293947680762224,214050905441687,153977564805074,1379083872319465,1470426779871002,469965193057993,133247926884581,956082517750796,347931698701255
1307778746,334600223274360,1560190850934444,1452357201686673,116431445169619,1470515046537744,147680342090458,1017426538344910,808997689166234,1678659992376911,145402922137228
1366654793,276309149200455,293947680762224,343606679138879,147680342090458,211476462290972,513785732037204,569288556451206,209473922596356,372832266226334,189209361267196
1652155259,116431445169619,766069070177769,1470515046537744,153977564805074,1379083872319465,956082517750796,1502218643346817,145402922137228,664463123648005,1479410105631173
637809334,276309149200455,116431445169619,766069070177769,743552322390935,972516892810156,147680342090458,255163191262710,462266583941871,145402922137228,469965193057993
100003833506022,1560190850934444,343606679138879,211476462290972,153977564805074,1470426779871002,469965193057993,209473922596356,462266583941871,525045287564418,331565683601735
1338840402,151462301571537,359837074208336,1017426538344910,1650963588453980,153977564805074,808997689166234,563917740343279,347931698701255,709787162441701,503706833117673
730821905,334600223274360,116431445169619,972516892810156,211476462290972,209473922596356,1470426779871002,469965193057993,145402922137228,315714985299528,355318834582376
100002870577906,1452357201686673,334600223274360,147680342090458,1417201508570124,347931698701255,850047381738094,1502218643346817,469965193057993,372832266226334,503706833117673
100003732309746,950863758336907,180030915345034,151462301571537,343606679138879,1017426538344910,255163191262710,1678659992376911,640106616045345,485786431445960,850047381738094
100001442322763,343606679138879,1470515046537744,1560190850934444,513785732037204,808997689166234,147680342090458,850047381738094,451875204908266,718546104840255,485786431445960
100008130759690,334600223274360,743552322390935,293947680762224,214050905441687,563917740343279,209473922596356,850047381738094,145402922137228,186513324707814,956082517750796
100001573170542,151462301571537,1560190850934444,116431445169619,1650963588453980,147680342090458,808997689166234,1017426538344910,640106616045345,211476462290972,718546104840255
100000656931535,343606679138879,211476462290972,579557175450439,1470426779871002,209473922596356,462266583941871,956082517750796,331565683601735,1479410105631173,705451069470296
540767694,276309149200455,255163191262710,1678659992376911,569288556451206,850047381738094,485786431445960,372832266226334,436613806496861,331565683601735,664463123648005
100003595312146,276309149200455,334600223274360,151462301571537,513785732037204,153977564805074,640106616045345,1017426538344910,209473922596356,325201384355552,1502218643346817
100007757670742,743552322390935,147680342090458,211476462290972,255163191262710,451875204908266,209473922596356,1502218643346817,189209361267196,664463123648005,186513324707814
633358264,276309149200455,214050905441687,211476462290972,718546104840255,1017426538344910,1379083872319465,850047381738094,436613806496861,485786431445960,664463123648005
665043999,359837074208336,513785732037204,1470515046537744,1678659992376911,563917740343279,436613806496861,347931698701255,709787162441701,372832266226334,315714985299528
100000232783322,359837074208336,1379083872319465,1678659992376911,485786431445960,1470426779871002,569288556451206,956082517750796,1479410105631173,424931944228269,315714985299528
100000294785196,1452357201686673,116431445169619,343606679138879,1017426538344910,153977564805074,1678659992376911,640106616045345,462266583941871,372832266226334,436613806496861
100004745400229,334600223274360,743552322390935,293947680762224,972516892810156,451875204908266,1417201508570124,640106616045345,462266583941871,436613806496861,469965193057993
100007174152390,180030915345034,359837074208336,116431445169619,293947680762224,513785732037204,579557175450439,718546104840255,255163191262710,325201384355552,1379083872319465
