,0,1,2,3,4,5,6,7,8,9
100011214003135,1663548703877323,372832266226334,,,,,,,,
657577034,613106885433101,211476462290972,,,,,,,,
100006832633596,171189606583225,,,,,,,,,
100001906529239,116431445169619,,,,,,,,,
100003042619867,465704200150560,525045287564418,211476462290972,186513324707814,,,,,,
1657350158,718546104840255,211476462290972,525045287564418,,,,,,,
530458802,512530622166649,186513324707814,,,,,,,,
1753550570,613106885433101,359010427525572,512530622166649,171189606583225,186513324707814,,,,,
100005592492420,372832266226334,186513324707814,,,,,,,,
100005826102336,1470515046537744,525045287564418,,,,,,,,
789894738,465704200150560,116431445169619,1663548703877323,,,,,,,
1537359166,512530622166649,1663548703877323,372832266226334,,,,,,,
100001144747670,1070723119658555,116431445169619,,,,,,,,
100002204995250,1470515046537744,,,,,,,,,
1460978665,359010427525572,171189606583225,,,,,,,,
653345209,465704200150560,186513324707814,,,,,,,,
674142110,359010427525572,1663548703877323,372832266226334,,,,,,,
