,0,1,2,3,4,5,6,7,8,9
1062765807,116431445169619,1439591133005014,219178058280346,640106616045345,1639889169610412,641357072659000,155415196088,1431622807089649,261151587357260,1470515046537744
100000677735062,186513324707814,1513021542254541,1236156129733715,939570162735921,325201384355552,1402376883388507,171189606583225,153977564805074,245770268911414,1533464686903010
100005722772217,1236156129733715,1513021542254541,715228075229036,1517887281761033,116431445169619,245770268911414,783763321703579,641357072659000,1515742982001621,1417201508570124
100007813424980,186513324707814,715228075229036,359837074208336,808997689166234,718546104840255,469965193057993,640106616045345,207088562690999,1515742982001621,237861679739114
523106544,186513324707814,1515742982001621,325201384355552,1430179450611070,1470515046537744,237861679739114,640106616045345,1417201508570124,579557175450439,151462301571537
100001029637350,1515742982001621,245770268911414,469965193057993,1417201508570124,755009684522390,1639889169610412,325201384355552,1517887281761033,715228075229036,153977564805074
100001437096610,1236156129733715,641357072659000,261151587357260,1417201508570124,1663548703877323,463578457148999,443915159044396,783763321703579,1513021542254541,469965193057993
100003502375964,186513324707814,325201384355552,261151587357260,1236156129733715,463578457148999,595185820539511,314326828711902,172095542845814,641357072659000,237861679739114
1561450986,1417201508570124,1513021542254541,325201384355552,1236156129733715,1515742982001621,640106616045345,668685499870559,523578154464021,207088562690999,261151587357260
100000294952685,443915159044396,343606679138879,1430179450611070,1664960830420791,207088562690999,640106616045345,325201384355552,972516892810156,153977564805074,463578457148999
100000608978968,469965193057993,261151587357260,617228808414142,105713669505240,1417201508570124,668685499870559,172095542845814,1515742982001621,325201384355552,276309149200455
538764216,1513021542254541,1417201508570124,120477108108421,151462301571537,186513324707814,109924292681661,1515742982001621,211486302212720,1517887281761033,1402053123339962
578755656,715228075229036,325201384355552,783763321703579,245770268911414,1515742982001621,365683270164409,641357072659000,186513324707814,1639889169610412,523578154464021
100007006482558,186513324707814,325201384355552,1236156129733715,1515742982001621,153977564805074,1431622807089649,245770268911414,1417201508570124,1639889169610412,1664960830420791
100009476706534,116431445169619,245770268911414,261151587357260,1517887281761033,186513324707814,755009684522390,523578154464021,151462301571537,808997689166234,276309149200455
100009800073291,186513324707814,641357072659000,1515742982001621,172095542845814,629237600450474,325201384355552,640106616045345,365683270164409,244002889050025,443915159044396
100010679560172,1236156129733715,325201384355552,783763321703579,1517887281761033,1417201508570124,116431445169619,245770268911414,563917740343279,172095542845814,1639889169610412
100011081377101,1417201508570124,138826162963301,783763321703579,325201384355552,1402053123339962,815389731877054,640106616045345,1515742982001621,641357072659000,1599698676934263
1832080536,186513324707814,1532170243748316,640106616045345,155415196088,325201384355552,523578154464021,662404743778256,1515742982001621,1417201508570124,579557175450439
100000415164509,120190574818017,1678659992376911,972516892810156,1663548703877323,662404743778256,485786431445960,1515742982001621,681515318582140,640106616045345,850047381738094
100010520113794,1236156129733715,409665505900094,325201384355552,641357072659000,1515742982001621,186513324707814,950863758336907,1417201508570124,783763321703579,109924292681661
766612689,1236156129733715,261151587357260,211476462290972,237861679739114,405037762927149,815389731877054,116431445169619,1571612506414924,640106616045345,153977564805074
100003099900230,1236156129733715,325201384355552,1639889169610412,641357072659000,1513021542254541,640106616045345,783763321703579,153930936150,132386763492259,485991018197585
100003328863630,1236156129733715,783763321703579,1452357201686673,1639889169610412,172095542845814,245770268911414,972516892810156,359837074208336,485991018197585,1430179450611070
100006867962379,1515742982001621,132386763492259,640106616045345,1639889169610412,1470515046537744,151462301571537,237861679739114,808997689166234,515124948593252,437893912931738
739267393,1664960830420791,1515742982001621,151462301571537,1417201508570124,1663548703877323,325201384355552,1639889169610412,211486302212720,1517887281761033,261151587357260
100008026579352,1515742982001621,116431445169619,1513021542254541,1417201508570124,1663548703877323,783763321703579,325201384355552,186513324707814,245770268911414,153977564805074
1631444781,437893912931738,186513324707814,715228075229036,640106616045345,1236156129733715,808997689166234,359837074208336,1641113002774786,498946276938344,245770268911414
716078744,325201384355552,1236156129733715,1417201508570124,1515742982001621,1639889169610412,1452357201686673,245770268911414,237861679739114,936624199834683,151462301571537
100001107802876,186513324707814,1236156129733715,641357072659000,237861679739114,1513021542254541,325201384355552,1641113002774786,245770268911414,1417201508570124,261151587357260
100002681974412,245770268911414,1417201508570124,325201384355552,153977564805074,715228075229036,443915159044396,186513324707814,1517887281761033,515124948593252,237861679739114
100002840308149,325201384355552,1533464686903010,1513021542254541,485991018197585,109924292681661,443915159044396,138826162963301,1236156129733715,245770268911414,155415196088
100002739175377,1532170243748316,640106616045345,1513021542254541,1515742982001621,795745997156961,186513324707814,138826162963301,211476462290972,783763321703579,120230848080105
100009695142888,343606679138879,1417201508570124,325201384355552,172095542845814,261151587357260,120477108108421,1513021542254541,1641113002774786,579557175450439,1402053123339962
736288832,325201384355552,1517887281761033,640106616045345,1515742982001621,211486302212720,1417201508570124,1513021542254541,1639889169610412,109924292681661,755009684522390
100001857387072,1417201508570124,617228808414142,186513324707814,325201384355552,1031480000248186,261151587357260,795745997156961,1513021542254541,147680342090458,640106616045345
1697131720,1515742982001621,972516892810156,1502218643346817,276309149200455,245770268911414,261151587357260,718546104840255,360146510790751,1517887281761033,668685499870559
557617774,153977564805074,186513324707814,1513021542254541,662404743778256,261151587357260,325201384355552,640106616045345,151462301571537,463578457148999,443915159044396
100000296303263,1236156129733715,325201384355552,783763321703579,641357072659000,640106616045345,245770268911414,109924292681661,485991018197585,795745997156961,132386763492259
100001679222899,640106616045345,1664960830420791,1236156129733715,245770268911414,343606679138879,1417201508570124,485786431445960,116431445169619,153977564805074,662404743778256
100003819103686,1417201508570124,245770268911414,640106616045345,1236156129733715,485786431445960,405037762927149,485991018197585,186513324707814,437893912931738,936624199834683
100004216923462,783763321703579,1236156129733715,325201384355552,172095542845814,641357072659000,120477108108421,718546104840255,1070723119658555,850047381738094,485991018197585
1563834703,1417201508570124,186513324707814,314326828711902,116431445169619,641357072659000,1639889169610412,640106616045345,1515742982001621,237861679739114,1236156129733715
505941841,109924292681661,365683270164409,1417201508570124,325201384355552,1479410105631173,523578154464021,903057049778430,715228075229036,409665505900094,387811564616084
630551646,359837074208336,186513324707814,138826162963301,153930936150,245770268911414,325201384355552,1678659992376911,1236156129733715,1417201508570124,1431622807089649
639810168,1417201508570124,343606679138879,116431445169619,186513324707814,972516892810156,1402053123339962,245770268911414,1452357201686673,153930936150,641357072659000
100001639309938,116431445169619,1431622807089649,783763321703579,359837074208336,640106616045345,515124948593252,523578154464021,1515742982001621,325201384355552,109924292681661
100005508647057,325201384355552,151462301571537,186513324707814,360146510790751,276309149200455,463578457148999,109924292681661,138826162963301,1430179450611070,1678659992376911
100006086533325,1417201508570124,640106616045345,469965193057993,1513021542254541,325201384355552,1431622807089649,359837074208336,261151587357260,437893912931738,211486302212720
100005792256866,1417201508570124,325201384355552,451125094971218,186513324707814,1513021542254541,120477108108421,151462301571537,1031480000248186,245770268911414,1236156129733715
100000619275066,579557175450439,261151587357260,783763321703579,485991018197585,1236156129733715,640106616045345,147611895600078,795745997156961,1417201508570124,120230848080105
